document_title,eisenhower_url,naid,collection,topic,bibliography_matches,matched_bibliography_files,unit_record_matches,matched_unit_records
"The Quadrant Conference, August 1943",https://www.eisenhowerlibrary.gov/sites/default/files/research/online-documents/d-day/quadrant-conference.pdf,12005143,"Combined Chiefs of Staff Conference Proceedings, Box 2",D-Day,15,1st_plenary_citadel_mtg_01KQ664TZ4NPCD1VXM3W97C2M1.json; report_on_quadrant_01KPW0DDCPJVE74B9SB792FMSD.json; memos_and_staff_studies_in_opd_file_abc_337_25_may_43_passim_01KQ662KC73T638WFNSK8EWXCF.json; jcs_4221_01KPT7GJ8F3WMC289PVF2V97ER.json; quadrant_01KPT98VKR2ZXB8DPVSKCSMA28.json,0,
"Harry Butcher Diary Entry, October 5, 1943",https://www.eisenhowerlibrary.gov/sites/default/files/research/online-documents/d-day/butcher-diary.pdf,12004922,"DDE Pre-Presidential Papers, Butcher Diary",D-Day,0,,0,
"The Sextant and Eureka Conferences, November-December 1943",https://www.eisenhowerlibrary.gov/sites/default/files/research/online-documents/d-day/sextant-and-eureka-conferences.pdf,12005144,"Combined Chiefs of Staff Conference Proceedings, Box 2",D-Day,9,2d_plenary_meeting_at_cairo_24_november_1943_01KPT9NG5164A3CBF5C3C008TT.json; 2d_plenary_mtg_at_cairo_01KQ66SF1X14ESWKHMABDPE2B4.json; official_us_minutes_of_the_meeting_bound_with_the_minutes_of_the_cairo_sextant_c_01KQ66TWGN0BV14WYF39BJW2G3.json; official_us_minutes_of_the_meeting_01KQ75V2DPDZXA8MT7F5Y3BHND.json; official_us_minutes_of_the_meeting_bound_with_the_minutes_of_the_cairo_sextant_c_01KQ66T910WD9PEQM688F28NG4.json,0,
"Roosevelt to Stalin appointing Eisenhower to command Overlord, December 7, 1943",https://www.eisenhowerlibrary.gov/sites/default/files/research/online-documents/d-day/1943-12-07-roosevelt-to-stalin.pdf,,,D-Day,444,ltr_airborne_opns_to_further_overlord_6_jul_01KQ7YKC2VS82T5JY5CKHV1VD7.json; eisenhower_to_12th_and_6th_a_gps_fwd_15934_26_sep_44_01KS8KB8C9SBZXEGPTWB77183B.json; cable_marshall_to_eisenhower_01KQ67WVV4MJDV63RH8TD5HFAD.json; eisenhower_to_ccs_01KSDGRV10GZTKJ5BTM867SEBR.json; directive_to_commanders_01KS3GDGP010HG4AN4MTHASHE7.json,0,
"Overlord - Anvil Papers, December 1943 - April 1944 Part 1",https://www.eisenhowerlibrary.gov/sites/default/files/research/online-documents/d-day/overlord-part-1.pdf,12009137,"Walter Bedell Smith Collection, Box 21",D-Day,444,ltr_airborne_opns_to_further_overlord_6_jul_01KQ7YKC2VS82T5JY5CKHV1VD7.json; eisenhower_to_12th_and_6th_a_gps_fwd_15934_26_sep_44_01KS8KB8C9SBZXEGPTWB77183B.json; cable_marshall_to_eisenhower_01KQ67WVV4MJDV63RH8TD5HFAD.json; eisenhower_to_ccs_01KSDGRV10GZTKJ5BTM867SEBR.json; directive_to_commanders_01KS3GDGP010HG4AN4MTHASHE7.json,0,
"Overlord - Anvil Papers, December 1943 - April 1944 Part 2",https://www.eisenhowerlibrary.gov/sites/default/files/research/online-documents/d-day/overlord-part-2.pdf,12005073,"Walter Bedell Smith Collection, Box 21",D-Day,444,ltr_airborne_opns_to_further_overlord_6_jul_01KQ7YKC2VS82T5JY5CKHV1VD7.json; eisenhower_to_12th_and_6th_a_gps_fwd_15934_26_sep_44_01KS8KB8C9SBZXEGPTWB77183B.json; cable_marshall_to_eisenhower_01KQ67WVV4MJDV63RH8TD5HFAD.json; eisenhower_to_ccs_01KSDGRV10GZTKJ5BTM867SEBR.json; directive_to_commanders_01KS3GDGP010HG4AN4MTHASHE7.json,0,
"Operation Policy Memoranda, January 29, 1944",https://www.eisenhowerlibrary.gov/sites/default/files/research/online-documents/d-day/operation-policy-memoranda.pdf,12005223,"DDE Pre-Presidential Papers, Box 136",D-Day,0,,0,
"British Assault Area - Naval Operation Orders, May 15, 1944",https://www.eisenhowerlibrary.gov/sites/default/files/research/online-documents/d-day/british-assault-area.pdf,12004565,"Walter Bedell Smith Collection, Box 48",D-Day,0,,0,
"Minutes of the SCAEF 21st Meeting, June 2, 1944",https://www.eisenhowerlibrary.gov/sites/default/files/research/online-documents/d-day/minutes-of-the-scaef.pdf,12004923,"DDE Pre-Presidential Papers, Box 136",D-Day,16,letter_enclosing_staff_comments_on_shaef_proposal_to_reduce_the_allocation_of_la_01KPW28SRDGCM2PCC6PG2T8JX8.json; scaef_12th_meeting_01KPT99TQAFXBB3FYAWXGA6Y9J.json; letter_enclosing_staff_comments_on_shaef_proposal_01KPTADK53C7AZP82CSJWF44E1.json; scaef_5th_mtg_01KQ67Y1SFXQNBZX4T81RWR193.json; shaef_g_3_to_shaef_cofs_sub_scaef_letter_to_general_bradley_15_dec_44_01KT80XY1B5Z3P5VSEFRZQBQNP.json,0,
"Conditions in Normandy, June 3, 1944",https://www.eisenhowerlibrary.gov/sites/default/files/research/online-documents/d-day/1944-06-03-conditions-in-normandy.pdf,12005079,"DDE Pre-Presidential Papers, Box 137",D-Day,0,,0,
